orderNumber,customerNumber,customer,company,custCountry,productCode,productName,category,orderQuantity,orderDate,totalSales,totalProfit,salesRep,salesCountry
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,37,2005-03-23,2885.63,1085.95,Leslie Jennings,USA
10396,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S700_1138,The Schooner Bluenose,Ships,39,2005-03-23,2418.00,1092.00,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1129,1993 Mazda RX-7,Classic Cars,36,2005-03-04,4229.28,1222.92,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1984,1995 Honda Civic,Classic Cars,34,2005-03-04,4497.86,1305.60,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,31,2005-03-04,3192.38,1379.50,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,26,2005-03-04,4212.00,2325.44,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3278,1969 Dodge Super Bee,Classic Cars,40,2005-03-04,3023.60,1061.60,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3482,1976 Ford Gran Torino,Classic Cars,50,2005-03-04,6761.50,3087.00,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3782,1957 Vespa GS150,Motorcycles,36,2005-03-04,1947.24,761.04,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4721,1957 Corvette Convertible,Classic Cars,49,2005-03-04,5978.98,2552.41,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2360,1982 Ducati 900 Monster,Motorcycles,35,2005-03-04,2375.45,726.95,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2972,1982 Lamborghini Diablo,Classic Cars,37,2005-03-04,1327.19,726.31,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3371,1971 Alpine Renault 1600s,Classic Cars,46,2005-03-04,2365.78,591.10,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3856,1956 Porsche 356A Coupe,Classic Cars,45,2005-03-04,6066.45,1642.95,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_4620,1961 Chevrolet Impala,Classic Cars,30,2005-03-04,1988.70,1018.80,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_2206,1982 Ducati 996 R,Motorcycles,41,2005-03-04,1599.82,610.08,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,45,2005-03-04,4546.35,2020.50,Leslie Jennings,USA
10390,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S50_4713,2002 Yamaha YZR M1,Motorcycles,22,2005-03-04,1789.92,1038.18,Leslie Jennings,USA
10385,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,37,2005-02-28,2916.71,1117.03,Leslie Jennings,USA
10385,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S700_1138,The Schooner Bluenose,Ships,25,2005-02-28,1550.00,700.00,Leslie Jennings,USA
10384,321,Julie Brown,Corporate Gift Ideas Co.,USA,S10_4757,1972 Alfa Romeo GTA,Classic Cars,34,2005-02-23,4392.80,1479.68,Leslie Jennings,USA
10384,321,Julie Brown,Corporate Gift Ideas Co.,USA,S24_2011,18th century schooner,Ships,28,2005-02-23,3200.12,894.60,Leslie Jennings,USA
10384,321,Julie Brown,Corporate Gift Ideas Co.,USA,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,43,2005-02-23,3082.67,1065.54,Leslie Jennings,USA
10384,321,Julie Brown,Corporate Gift Ideas Co.,USA,S700_1938,The Mayflower,Ships,49,2005-02-23,3479.98,1358.28,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_1108,2001 Ferrari Enzo,Classic Cars,34,2005-02-17,5652.16,2402.10,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_3148,1969 Corvair Monza,Classic Cars,37,2005-02-17,5366.48,2068.30,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_3891,1969 Ford Falcon,Classic Cars,34,2005-02-17,4882.74,2059.04,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_4473,1957 Chevy Pickup,Trucks and Buses,32,2005-02-17,3299.20,1516.80,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,25,2005-02-17,4011.50,1473.75,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3320,1917 Maxwell Touring Car,Vintage Cars,50,2005-02-17,4216.50,1339.50,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4600,1940s Ford truck,Trucks and Buses,39,2005-02-17,4486.17,1180.53,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4668,1939 Cadillac Limousine,Vintage Cars,39,2005-02-17,1805.31,902.85,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,20,2005-02-17,2402.40,1175.60,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_4258,1936 Chrysler Airflow,Vintage Cars,33,2005-02-17,3213.87,1317.69,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_1268,1980’s GM Manhattan Express,Trucks and Buses,26,2005-02-17,2228.72,826.54,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,48,2005-02-17,2761.44,1148.16,Leslie Jennings,USA
10382,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S700_2824,1982 Camaro Z28,Classic Cars,34,2005-02-17,3439.10,1857.08,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S10_1949,1952 Alpine Renault 1300,Classic Cars,36,2005-02-17,6557.76,3008.88,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S10_4962,1962 LanciaA Delta 16V,Classic Cars,37,2005-02-17,5138.56,1312.02,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S12_1666,1958 Setra Bus,Trucks and Buses,20,2005-02-17,2651.40,1093.40,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,48,2005-02-17,5488.32,2688.48,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,25,2005-02-17,1240.00,633.50,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S18_2432,1926 Ford Fire Engine,Trucks and Buses,35,2005-02-17,2126.95,1254.75,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S18_2949,1913 Ford Model T Speedster,Vintage Cars,41,2005-02-17,4112.30,1620.32,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S18_2957,1934 Ford V8 Coupe,Vintage Cars,40,2005-02-17,2048.80,674.80,Leslie Jennings,USA
10381,321,Julie Brown,Corporate Gift Ideas Co.,USA,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,35,2005-02-17,3262.00,1136.10,Leslie Jennings,USA
10376,219,Mary Young,Boards & Toys Co.,USA,S12_3380,1968 Dodge Charger,Classic Cars,35,2005-02-08,3452.75,822.15,Leslie Thompson,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_1108,2001 Ferrari Enzo,Classic Cars,32,2005-01-23,5718.72,2659.84,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_4473,1957 Chevy Pickup,Trucks and Buses,49,2005-01-23,5109.72,2380.42,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,25,2005-01-23,4011.50,1473.75,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_1444,1970 Dodge Coronet,Classic Cars,25,2005-01-23,1343.75,534.50,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,20,2005-01-23,2530.20,1303.40,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,45,2005-01-23,1575.45,859.50,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,28,2005-01-23,2682.68,728.84,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_1268,1980’s GM Manhattan Express,Trucks and Buses,26,2005-01-23,2153.58,751.40,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,20,2005-01-23,887.40,367.80,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_3207,1950s Chicago Surface Lines Streetcar,Trains,30,2005-01-23,1603.20,801.60,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,48,2005-01-23,4667.04,1389.12,Leslie Jennings,USA
10371,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S700_2824,1982 Camaro Z28,Classic Cars,34,2005-01-23,2854.30,1272.28,Leslie Jennings,USA
10368,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2766,1949 Jaguar XK 120,Classic Cars,40,2005-01-19,2944.00,1054.00,Leslie Jennings,USA
10368,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2887,1952 Citroen-15CV,Classic Cars,31,2005-01-19,3567.79,1310.37,Leslie Jennings,USA
10368,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3191,1969 Chevrolet Camaro Z28,Classic Cars,46,2005-01-19,3819.84,1496.38,Leslie Jennings,USA
10368,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3432,2002 Chevy Corvette,Classic Cars,20,2005-01-19,1863.20,621.00,Leslie Jennings,USA
10368,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,46,2005-01-19,1679.92,679.42,Leslie Jennings,USA
10362,161,Juri Hashimoto,Technics Stores Inc.,USA,S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,22,2005-01-05,4004.88,2002.44,Leslie Jennings,USA
10362,161,Juri Hashimoto,Technics Stores Inc.,USA,S12_2823,2002 Suzuki XREO,Motorcycles,22,2005-01-05,2882.88,1424.94,Leslie Jennings,USA
10362,161,Juri Hashimoto,Technics Stores Inc.,USA,S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,23,2005-01-05,1239.93,682.64,Leslie Jennings,USA
10362,161,Juri Hashimoto,Technics Stores Inc.,USA,S24_1578,1997 BMW R 1100 S,Motorcycles,50,2005-01-05,4564.50,1521.50,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S10_1949,1952 Alpine Renault 1300,Classic Cars,32,2004-12-10,6377.60,3223.04,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S10_4962,1962 LanciaA Delta 16V,Classic Cars,43,2004-12-10,5844.56,1397.50,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_1666,1958 Setra Bus,Trucks and Buses,49,2004-12-10,5357.66,1540.56,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,39,2004-12-10,4368.00,2093.13,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2432,1926 Ford Fire Engine,Trucks and Buses,41,2004-12-10,2416.95,1395.23,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2949,1913 Ford Model T Speedster,Vintage Cars,41,2004-12-10,3738.38,1246.40,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2957,1934 Ford V8 Coupe,Vintage Cars,49,2004-12-10,2907.66,1224.51,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,44,2004-12-10,4607.68,1935.12,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3320,1917 Maxwell Touring Car,Vintage Cars,25,2004-12-10,2108.25,669.75,Leslie Jennings,USA
10357,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4600,1940s Ford truck,Trucks and Buses,28,2004-12-10,2949.52,576.24,Leslie Jennings,USA
10346,112,Jean King,Signal Gift Stores,USA,S18_1342,1937 Lincoln Berline,Vintage Cars,42,2004-11-29,3711.12,1165.08,Leslie Thompson,USA
10346,112,Jean King,Signal Gift Stores,USA,S24_2766,1949 Jaguar XK 120,Classic Cars,25,2004-11-29,2181.00,999.75,Leslie Thompson,USA
10346,112,Jean King,Signal Gift Stores,USA,S24_2887,1952 Citroen-15CV,Classic Cars,24,2004-11-29,2818.56,1070.88,Leslie Thompson,USA
10346,112,Jean King,Signal Gift Stores,USA,S24_3191,1969 Chevrolet Camaro Z28,Classic Cars,24,2004-11-29,1931.28,719.04,Leslie Thompson,USA
10346,112,Jean King,Signal Gift Stores,USA,S24_3432,2002 Chevy Corvette,Classic Cars,26,2004-11-29,2700.62,1085.76,Leslie Thompson,USA
10346,112,Jean King,Signal Gift Stores,USA,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,22,2004-11-29,848.54,370.04,Leslie Thompson,USA
10335,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,33,2004-11-19,1085.04,560.01,Leslie Jennings,USA
10335,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_1268,1980’s GM Manhattan Express,Trucks and Buses,44,2004-11-19,3390.20,1017.28,Leslie Jennings,USA
10335,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,40,2004-11-19,1991.20,952.00,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S10_1949,1952 Alpine Renault 1300,Classic Cars,26,2004-11-18,4903.08,2340.00,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S12_1666,1958 Setra Bus,Trucks and Buses,33,2004-11-18,4014.12,1443.42,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,29,2004-11-18,3214.36,1522.79,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S18_2949,1913 Ford Model T Speedster,Vintage Cars,31,2004-11-18,2952.13,1067.95,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S18_3320,1917 Maxwell Touring Car,Vintage Cars,46,2004-11-18,4381.04,1734.20,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S18_4668,1939 Cadillac Limousine,Vintage Cars,24,2004-11-18,1014.24,458.88,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S24_4258,1936 Chrysler Airflow,Vintage Cars,39,2004-11-18,3722.16,1481.22,Leslie Jennings,USA
10333,129,Julie Murphy,Mini Wheels Co.,USA,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,33,2004-11-18,2047.65,938.52,Leslie Jennings,USA
10317,161,Juri Hashimoto,Technics Stores Inc.,USA,S24_4278,1900s Vintage Tri-Plane,Planes,35,2004-11-02,2434.25,1166.20,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S10_1949,1952 Alpine Renault 1300,Classic Cars,48,2004-10-21,10286.40,5554.56,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,32,2004-10-21,3248.00,1381.44,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1342,1937 Lincoln Berline,Vintage Cars,43,2004-10-21,4417.82,1811.16,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,25,2004-10-21,1091.75,485.25,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_1749,1917 Grand Touring Sedan,Vintage Cars,48,2004-10-21,7017.60,2856.00,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2248,1911 Ford Town Car,Vintage Cars,30,2004-10-21,1452.90,453.90,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,31,2004-10-21,3467.97,1655.09,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,25,2004-10-21,3754.75,1940.75,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2949,1913 Ford Model T Speedster,Vintage Cars,37,2004-10-21,3373.66,1124.80,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2957,1934 Ford V8 Coupe,Vintage Cars,35,2004-10-21,1901.90,699.65,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,38,2004-10-21,3541.60,1233.48,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3320,1917 Maxwell Touring Car,Vintage Cars,33,2004-10-21,2782.89,884.07,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4668,1939 Cadillac Limousine,Vintage Cars,39,2004-10-21,1726.53,824.07,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,39,2004-10-21,1087.32,207.09,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,23,2004-10-21,999.58,525.55,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,31,2004-10-21,1246.51,572.26,Leslie Jennings,USA
10312,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_4258,1936 Chrysler Airflow,Vintage Cars,44,2004-10-21,4242.48,1714.24,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_1108,2001 Ferrari Enzo,Classic Cars,41,2004-08-20,7241.83,3322.64,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_3148,1969 Corvair Monza,Classic Cars,27,2004-08-20,3834.54,1427.76,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_3891,1969 Ford Falcon,Classic Cars,24,2004-08-20,4069.44,2076.24,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,23,2004-08-20,3389.28,1054.55,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3140,1903 Ford Model A,Vintage Cars,43,2004-08-20,5285.99,2349.09,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_3259,Collectable Wooden Train,Trains,36,2004-08-20,3194.64,762.48,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_4027,1970 Triumph Spitfire,Classic Cars,31,2004-08-20,4096.03,1246.51,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_1444,1970 Dodge Coronet,Classic Cars,29,2004-08-20,1441.59,502.86,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,39,2004-08-20,3782.61,1061.19,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S32_3207,1950s Chicago Surface Lines Streetcar,Trains,36,2004-08-20,1856.88,894.96,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,38,2004-08-20,4354.42,1759.40,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S50_1514,1962 City of Detroit Streetcar,Trains,37,2004-08-20,2080.88,693.75,Leslie Jennings,USA
10282,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S700_1938,The Mayflower,Ships,43,2004-08-20,3351.85,1489.95,Leslie Jennings,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_1129,1993 Mazda RX-7,Classic Cars,34,2004-08-06,3898.10,1058.76,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_1589,1965 Aston Martin DB5,Classic Cars,23,2004-08-06,2461.46,944.38,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_1889,1948 Porsche 356-A Roadster,Classic Cars,29,2004-08-06,2121.35,558.25,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_1984,1995 Honda Civic,Classic Cars,29,2004-08-06,3424.03,701.22,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,39,2004-08-06,4581.72,2368.08,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,42,2004-08-06,7041.30,3769.50,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,31,2004-08-06,3547.64,1620.68,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S24_1628,1966 Shelby Cobra 427 S/C,Classic Cars,35,2004-08-06,1708.00,686.70,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S24_2972,1982 Lamborghini Diablo,Classic Cars,31,2004-08-06,1158.78,655.34,Leslie Thompson,USA
10278,112,Jean King,Signal Gift Stores,USA,S24_3856,1956 Porsche 356A Coupe,Classic Cars,25,2004-08-06,3405.50,948.00,Leslie Thompson,USA
10271,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S12_4473,1957 Chevy Pickup,Trucks and Buses,31,2004-07-20,3085.74,1359.04,Leslie Jennings,USA
10271,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,50,2004-07-20,7368.00,2292.50,Leslie Jennings,USA
10271,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,50,2004-07-20,6075.00,2332.00,Leslie Jennings,USA
10271,124,Susan Nelson,Mini Gifts Distributors Ltd.,USA,S18_2432,1926 Ford Fire Engine,Trucks and Buses,25,2004-07-20,1488.75,865.75,Leslie Jennings,USA
